SERIALNUMBER,SERVICEAREA,SERVICETYPE,SYMPTOMCODE
511050033,ITA_088 : DISTRETTO 7,Standard Repair,Door will not Open
410150107,ITA_006 : DISTRETTO 4,Not assigned,Outer glass damaged - PREORD - NA
608180379,ITA_030 : DISTRETTO 1,Standard Repair,Front panel damaged / dented - PREORD -
505200117,ITA_017 : DISTRETTO 3,Not assigned,Oven does not heat
221,ITA_006 : DISTRETTO 4,Not assigned,Oven door not aligned
605080058,ITA_006 : DISTRETTO 4,Standard Repair,Door will not Open
371149701568,ITA_092 : DISTRETTO 5,Standard Repair,Other problem
371208303732,ITA_008 : DISTRETTO 8,Standard Repair,Other problem
371351000934,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
999999999,ITA_006 : DISTRETTO 4,Standard Repair,Outer door dented/damaged - PREORD - NA
999999999,ITA_008 : DISTRETTO 8,Standard Repair,Other problem
151521005450,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
151627005591,ITA_017 : DISTRETTO 3,Standard Repair,Front panel damaged / dented - PREORD -
410200175,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not switch on
504130548,ITA_088 : DISTRETTO 7,Standard Repair,Door will not Open
605193542,ITA_043 : DISTRETTO 2,Not assigned,Front panel damaged / dented - PREORD -
151621000539,ITA_030 : DISTRETTO 1,Standard Repair,Other problem
612060136,ITA_071 : DISTRETTO 6,R+1 Std (Maytag),Oven door not aligned
221,ITA_088 : DISTRETTO 7,Not assigned,Front panel damaged / dented - PREORD -
151627005590,ITA_017 : DISTRETTO 3,Standard Repair,Front panel damaged / dented  -  PREORD
610077527,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
421519012974,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
503090116,ITA_088 : DISTRETTO 7,Not assigned,Oven does not switch on
151618007467,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
151539001153,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
151615009602,ITA_092 : DISTRETTO 5,Product Substitution,Other problem
999999999,ITA_030 : DISTRETTO 1,Standard Repair,Front panel damaged / dented - PREORD -
2090537,ITA_071 : DISTRETTO 6,Not assigned,Oven does not switch on
371210302477,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
602230560,ITA_017 : DISTRETTO 3,Not assigned,Oven does not switch on
221,ITA_008 : DISTRETTO 8,Not assigned,Component is dented / damaged
610219733,ITA_017 : DISTRETTO 3,Standard Repair,Front panel damaged / dented - PREORD -
411143592,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
371206306115,ITA_088 : DISTRETTO 7,Product Substitution,Other problem
151638000836,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
371205304003,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
151507006397,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
610148427,ITA_006 : DISTRETTO 4,Standard Repair,Door will not Open
371136302757,ITA_009 : DISTRETTO 9,Complex Repair  A,Other problem
151513007202,ITA_030 : DISTRETTO 1,Standard Repair,Other problem
151441005194,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
151634009056,ITA_088 : DISTRETTO 7,Complex Repair,Other problem
151545000490,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
151617005297,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
151615000566,ITA_017 : DISTRETTO 3,Standard Repair,Other problem
151617003090,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
151643001026,ITA_030 : DISTRETTO 1,Standard Repair,Other problem
151527005209,ITA_017 : DISTRETTO 3,Standard Repair,Other problem
151615000561,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
371020701394,ITA_030 : DISTRETTO 1,R+1 Std (Maytag),Other problem
370512700613,ITA_043 : DISTRETTO 2,R+1 Std (Maytag),Other problem
151509004317,ITA_030 : DISTRETTO 1,Standard Repair,Other problem
151610000183,ITA_017 : DISTRETTO 3,Standard Repair,Other problem
371412002129,ITA_017 : DISTRETTO 3,Standard Repair,Other problem
370915700015,ITA_006 : DISTRETTO 4,Standard Repair,Other problem
151549002328,ITA_017 : DISTRETTO 3,Standard Repair,Other problem
151552001984,ITA_092 : DISTRETTO 5,Standard Repair,Other problem
371319700040,ITA_009 : DISTRETTO 9,Standard Repair,Other problem
371150700300,ITA_030 : DISTRETTO 1,Standard Repair,Other problem
370835702343,ITA_092 : DISTRETTO 5,R+1 Std (Maytag),Other problem
371210302391,ITA_006 : DISTRETTO 4,Standard Repair,Other problem
151522006039,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
371426017104,ITA_006 : DISTRETTO 4,Standard Repair,Other problem
371213701151,ITA_088 : DISTRETTO 7,R+1 Std (Maytag),Other problem
370738100011,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
371221303339,ITA_008 : DISTRETTO 8,R+1 Std (Maytag),Other problem
371037300782,ITA_092 : DISTRETTO 5,Standard Repair A,Other problem
151610004489,ITA_008 : DISTRETTO 8,Standard Repair,Front panel damaged / dented - PREORD -
371301300463,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
371210302474,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
371034304059,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
370941100194,ITA_088 : DISTRETTO 7,Standard Repair,Other problem
151610007411,ITA_009 : DISTRETTO 9,Standard Repair,Other problem
151540005452,ITA_030 : DISTRETTO 1,Standard Repair,Other problem
371348007693,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
371307700516,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
999999999,ITA_071 : DISTRETTO 6,Standard Repair,Oven does not heat
151449000314,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
371126301759,ITA_030 : DISTRETTO 1,Standard Repair,It doesn't cook
421518008003,ITA_088 : DISTRETTO 7,Standard Repair,Unpleasant smell from the appliance
151530008135,ITA_092 : DISTRETTO 5,Standard Repair,F2E1 on display
371013701140,ITA_043 : DISTRETTO 2,Six Month Spares,F2E1 on display
507290785,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
151634008901,ITA_017 : DISTRETTO 3,Built In Free Test,Appliance safety check / check-up - NA
371432004356,ITA_0MI : LAB_MI,Standard Repair,Steam from the door
605030548,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
221530000001,ITA_071 : DISTRETTO 6,Standard Repair,Cook top scratched / damaged  - PREORD -
608180447,ITA_0MI : LAB_MI,Standard Repair,Oven does not switch on
605180135,ITA_0MI : LAB_MI,Standard Repair,Component is dented / damaged
151549005403,ITA_071 : DISTRETTO 6,Standard Repair,Outer glass broken - PREORD - NA
605191607,ITA_009 : DISTRETTO 9,Standard Repair,Component is dented / damaged
151619003159,ITA_071 : DISTRETTO 6,Standard Repair,Oven does not heat
Not assigned,ITA_008 : DISTRETTO 8,Standard Repair,It doesn't cook
603020013,ITA_071 : DISTRETTO 6,Standard Repair,Oven does not heat
371206300277,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
502103417,ITA_0MI : LAB_MI,Product Substitution,Oven does not switch on
151615005397,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not switch on
151624006262,ITA_043 : DISTRETTO 2,Standard Repair,Too noisy
505150503,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
421607000243,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not heat
141619024971,ITA_006 : DISTRETTO 4,Built In Free Test,Door will not Open
151616006678,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
151638003769,ITA_088 : DISTRETTO 7,Standard Repair,Door will not Close
501060076,ITA_017 : DISTRETTO 3,Special Authorizatio,Outer glass broken - PREORD - NA
503090002,ITA_030 : DISTRETTO 1,Standard Repair,Accessories / components / parts - broke
371434004635,ITA_009 : DISTRETTO 9,Standard Repair,Door doesn't open
421539014249,ITA_092 : DISTRETTO 5,Standard Repair,Oven does not heat
151546009737,ITA_088 : DISTRETTO 7,Standard Repair,WH-DOOR on display
604050030,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
151621004495,ITA_071 : DISTRETTO 6,Standard Repair,Control panel display fault - NA
421612002713,ITA_071 : DISTRETTO 6,Standard Repair,Oven does not heat
151520002731,ITA_092 : DISTRETTO 5,Standard Repair,Accessories / components / parts - broke
999999999,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
151616006386,ITA_071 : DISTRETTO 6,Product Substitution,Oven door not aligned
151607007823,ITA_017 : DISTRETTO 3,Built In Free Test,It doesn't work
151442007139,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not switch on
604284004,ITA_006 : DISTRETTO 4,Standard Repair,Oven door not aligned
371151700234,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not switch on
151604008343,ITA_017 : DISTRETTO 3,Standard Repair,Control panel display fault - NA
301240148,ITA_017 : DISTRETTO 3,Standard Repair,Outer glass broken - PREORD - NA
606230699,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
151530004180,ITA_017 : DISTRETTO 3,Complex Repair,Outer glass broken - PREORD - NA
151621000539,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not switch on
221,ITA_043 : DISTRETTO 2,Not assigned,Not assigned
Not assigned,ITA_006 : DISTRETTO 4,Not assigned,Not assigned
151603007169,ITA_043 : DISTRETTO 2,Standard Repair,Faulty display / Led indicator
606230051,ITA_071 : DISTRETTO 6,Not assigned,Not assigned
Not assigned,ITA_092 : DISTRETTO 5,Not assigned,Not assigned
412220041,ITA_071 : DISTRETTO 6,Not assigned,Not assigned
603090132,ITA_071 : DISTRETTO 6,Not assigned,Not assigned
501060168,ITA_088 : DISTRETTO 7,Not assigned,Not assigned
601060259,ITA_092 : DISTRETTO 5,Not assigned,Not assigned
610100472,ITA_017 : DISTRETTO 3,Dif da Logistica WH,Door will not Open
370922701832,ITA_017 : DISTRETTO 3,Six Month Spares,Faulty display / Led indicator
401206362,ITA_071 : DISTRETTO 6,Not assigned,Not assigned
610100451,ITA_017 : DISTRETTO 3,Not assigned,Not assigned
403110404,ITA_043 : DISTRETTO 2,Standard Repair,Not assigned
604050380,ITA_030 : DISTRETTO 1,Standard Repair,Not assigned
999999999,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
605180219,ITA_043 : DISTRETTO 2,Product Substitution,Oven door not aligned
501290349,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
403110001,ITA_030 : DISTRETTO 1,Standard Repair,Front panel damaged / dented - PREORD -
510150236,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
410200001,ITA_043 : DISTRETTO 2,Standard Repair,Front panel damaged / dented - PREORD -
