SERIALNUMBER,SOCS1REPAIRCODE,SOCS2COMPONENTCODE,SOCS3DEFECT_CODE,NR_INTERVENTION
511050033,Part Replaced,CONTROL PANEL,Corroded,1
410150107,Part Replaced,CONTROL PANEL,"Scratched, dented, sharp edges",1
608180379,Part Replaced,"PANEL, FRONT","Scratched, dented, sharp edges",1
505200117,#,Not assigned,Not assigned,1
221,Part Replaced,TURNTABLE MOTOR,Burnt,1
605080058,Part Replaced,OTHERS MECHANICAL,Deformed,1
371149701568,Mechanical alignments,PERFORMANCE COMPLAINT,Unable to diagnose fault,1
371208303732,Mechanical alignments,POWER BOARD,Mechanically misaligned,1
371351000934,Repaired component,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
999999999,Mechanical alignments,"CAP, PUSHBUTTON","Loose, off, stripped",1
999999999,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
151521005450,Mechanical alignments,USER BOARD,"Loose, off, stripped",1
151627005591,Mechanical alignments,WIRING,"Incorrect wired, assembled",1
410200175,Mechanical alignments,FILTER,Mechanically misaligned,1
504130548,Mechanical alignments,DOOR,"Misoperating (component, module)",1
605193542,#,Not assigned,Not assigned,1
151621000539,Part Replaced,USER BOARD,Faulty mains voltage,1
612060136,Part Replaced,HEATING ELEMENT (UPPER - GRILL),"Misoperating (component, module)",1
221,Part Replaced,ACCESSORIES,"Scratched, dented, sharp edges",1
151627005590,Functional check,PERFORMANCE COMPLAINT,"Faulty program setting, installation",1
610077527,Part Replaced,DISPLAY,Burnt,1
421519012974,Functional check,PERFORMANCE COMPLAINT,No problem found,1
503090116,Electrical alignment / wiring / Resolder,MAINS LEAD / CORD,Open circuit,1
151618007467,Part Replaced,PILOT LIGHT / LED,"Cut, broken, split, torn",1
151539001153,Modification requested by manufacturer,PROTECTION (DOOR-GLASS),Installation fault,1
151615009602,Product exchange proposal,"PANEL, REAR",Deformed,1
999999999,Electrical alignment / wiring / Resolder,POWER BOARD,Unable to diagnose fault,1
2090537,#,Not assigned,Not assigned,1
371210302477,Part Replaced,CONTROL BOARD / SENSOR BOARD,Worn out (or general mechanical defect),1
602230560,#,Not assigned,Not assigned,1
221,Preventive action,CONTROL PANEL,"Incorrect wired, assembled",1
610219733,Mechanical alignments,USER BOARD,"Bad contact, connection",1
411143592,Software correction / upgrade / reset,CONTROL BOARD / SENSOR BOARD,Software problem,1
371206306115,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
151638000836,Part Replaced,CONTROL PANEL,Unable to diagnose fault,1
371205304003,Part Replaced,CONTROL BOARD / SENSOR BOARD,Worn out (or general mechanical defect),1
151507006397,Electrical alignment / wiring / Resolder,DISPLAY,"Incorrect wired, assembled",1
