TRACKINGTASKDESCR,SERIALNUMBER,TIMESTAMP
TouchUP Assembly Line 1,151445002762,2014-11-14 08:51:01.540
Start Assembly Line 4,151449000285,2014-11-18 09:43:34.600
Start Assembly Line 4,151449000286,2014-11-18 11:45:05.290
TouchUP Assembly Line 4,151449000285,2014-11-18 15:45:22.980
TouchUP Assembly Line 4,151449000286,2014-11-18 15:46:40.760
Start Assembly Line 4,151449000314,2014-11-18 15:50:07.343
TouchUP Assembly Line 4,151449000314,2014-11-18 16:56:48.290
Start Assembly Line 4,151451000265,2014-12-23 08:28:05.100
TouchUP Assembly Line 4,151451000265,2014-12-23 09:20:15.510
Inventary,151442007139,2014-12-24 10:00:00.000
TouchUP Assembly Line 4,151442007139,2015-01-14 15:17:32.110
Start Assembly Line 3,151508004260,2015-02-16 15:18:52.657
Start Assembly Line 3,151514008172,2015-04-02 16:13:08.940
Start Assembly Line 4,151520002731,2015-05-27 12:07:54.443
TouchUP Assembly Line 4,151520002731,2015-05-27 13:44:30.823
Start Assembly Line 3,151530010130,2015-07-29 16:23:55.730
Start Assembly Line 3,151538004046,2015-09-25 16:41:24.720
Start Assembly Line 3,151538004050,2015-09-25 16:45:43.590
Start Assembly Line 4,151537002122,2015-09-29 14:05:05.570
TouchUP Assembly Line 4,151537002122,2015-09-29 14:37:35.417
TouchUP Assembly Line 1,151540002347,2015-10-02 09:39:22.800
TouchUP Assembly Line 1,151540002351,2015-10-02 09:42:57.037
TouchUP Assembly Line 1,151540002385,2015-10-02 10:28:08.460
Start Assembly Line 3,151540002937,2015-10-07 09:34:55.340
Start Assembly Line 4,151546000745,2015-11-17 11:04:40.320
Start Assembly Line 4,151546000757,2015-11-17 11:20:39.457
TouchUP Assembly Line 4,151546000745,2015-11-17 11:40:43.790
TouchUP Assembly Line 4,151546000757,2015-11-17 11:57:01.707
Start Assembly Line 3,151552004525,2015-12-22 15:55:45.670
Start Assembly Line 3,151552003752,2015-12-23 08:11:23.123
TouchUP Assembly Line 1,151602000453,2016-01-12 11:13:27.513
TouchUP Assembly Line 1,151602000314,2016-01-12 11:17:42.917
Start Assembly Line 4,151602006203,2016-01-15 08:48:27.800
Start Assembly Line 4,151602006222,2016-01-15 09:13:51.217
TouchUP Assembly Line 4,151602006203,2016-01-15 09:20:49.143
Start Assembly Line 4,151602006228,2016-01-15 09:21:45.810
TouchUP Assembly Line 4,151602006222,2016-01-15 09:46:03.223
TouchUP Assembly Line 4,151602006228,2016-01-15 10:08:00.760
Start Assembly Line 3,151602005610,2016-01-15 14:45:30.157
Start Assembly Line 4,151602007744,2016-01-18 09:38:40.343
Start Assembly Line 3,151608005887,2016-02-25 10:20:15.110
Start Assembly Line 3,151607007805,2016-02-26 11:34:37.143
TouchUP Assembly Line 1,151609002293,2016-02-29 09:36:30.673
Start Assembly Line 4,151609007800,2016-03-01 08:22:13.677
TouchUP Assembly Line 4,151609007800,2016-03-01 08:54:40.060
TouchUP Assembly Line 1,151615005397,2016-04-12 16:08:00.550
TouchUP Assembly Line 1,151615005890,2016-04-14 09:28:46.510
Start Assembly Line 4,151614006718,2016-04-15 10:06:10.130
TouchUP Assembly Line 4,151614006718,2016-04-15 10:36:22.117
Start Assembly Line 4,151615009604,2016-04-18 15:14:47.030
TouchUP Assembly Line 4,151615009604,2016-04-18 15:58:43.343
Start Assembly Line 4,151615009507,2016-04-20 13:13:01.510
Start Assembly Line 4,151615009510,2016-04-20 13:16:46.337
TouchUP Assembly Line 4,151615009507,2016-04-20 13:46:35.827
TouchUP Assembly Line 4,151615009510,2016-04-20 13:50:18.887
Start Assembly Line 3,151616004705,2016-04-22 09:48:04.623
Start Assembly Line 4,151617000623,2016-04-22 17:58:16.810
TouchUP Assembly Line 4,151617000623,2016-04-22 18:40:19.633
Start Assembly Line 4,151445000139,2014-10-31 11:37:19.183
TouchUP Assembly Line 4,151445000139,2014-10-31 12:13:16.857
Start Assembly Line 4,151512004737,2015-03-19 11:28:21.440
TouchUP Assembly Line 4,151512004737,2015-03-19 12:07:02.637
Start Assembly Line 3,151520005389,2015-05-14 12:25:54.180
Start Assembly Line 3,151521002166,2015-05-15 14:07:48.497
Start Assembly Line 4,151530000178,2015-07-23 14:09:26.707
