INSERTDATE,SERIALNUMBER,DEFECTSRCDESSTD,REPAIRDESSTD
2016-03-18 06:48:34.113,151611006559,Assembly,Replaced
2016-04-11 15:42:00.073,151615000539,Preassembly,Repaired
2016-04-11 16:10:54.673,151615000539,Preassembly,Repaired
2016-04-11 16:36:39.970,151615000539,Preassembly,Repaired
2016-04-11 16:43:47.910,151615000539,Preassembly,Repaired
2016-04-12 08:04:33.503,151615000539,Preassembly,Repaired
2016-04-22 15:14:44.357,151615005397,Preassembly,Repaired
2016-04-28 15:11:30.797,151613002699,Assembly,Repaired
2016-05-05 08:32:29.677,151636007869,Assembly,Repaired
2016-05-10 13:04:03.020,151549002328,Unknown,Repaired
2016-07-05 09:55:56.747,151549005403,Preassembly,Repaired
2016-07-05 10:28:34.187,151634009056,Preassembly,Repaired
2016-07-05 10:36:26.053,151610004489,Preassembly,Repaired
2016-07-06 10:09:05.870,151509004317,Preassembly,Repaired
2016-07-11 11:46:37.160,151509004317,Assembly,Repaired
2016-07-11 11:55:06.240,151624006262,Supplier,Replaced
2016-07-19 13:43:00.957,151530008135,Assembly,Repaired
2016-07-21 09:17:33.523,151546009737,Supplier,Repaired
2016-07-21 09:41:14.373,151621000539,Preassembly,Repaired
2016-07-21 09:59:46.343,151621000539,Preassembly,Repaired
2016-07-25 14:56:00.330,151638000836,Preassembly,Replaced
2016-07-27 07:37:52.170,151638000903,Preassembly,Repaired
2016-08-01 15:48:29.937,151643001026,Unknown,Repaired
2016-08-02 07:54:50.527,151513007202,Assembly,Replaced
2016-08-02 14:41:19.723,151630001768,Assembly,Repaired
2016-08-02 15:18:27.100,151630001768,Preassembly,Repaired
2016-08-02 15:40:01.093,151630001768,Preassembly,Repaired
2016-08-02 16:08:56.550,151630001768,Preassembly,Repaired
2016-08-02 16:41:36.467,151630001768,Preassembly,Repaired
2016-08-03 06:51:22.037,151629004706,Unknown,Repaired
2016-08-03 08:11:42.147,151629004706,Assembly,Repaired
2016-08-04 10:02:45.860,151630001768,Assembly,Repaired
2016-08-09 07:16:14.470,151629004706,Assembly,Replaced
2016-08-31 09:38:26.700,151635007570,Assembly,Repaired
2016-09-02 08:02:09.390,151635007514,Unknown,Repaired
2016-09-13 06:42:22.730,151637000634,Supplier,Replaced
2016-09-14 09:20:22.847,151637006202,Assembly,Repaired
2016-10-04 09:43:04.310,151638000900,Unknown,Repaired
2016-10-13 15:41:04.563,151641005673,Preassembly,Repaired
2016-10-19 15:47:22.203,151642004233,Preassembly,Replaced
2016-10-20 09:53:46.953,151642003027,Preassembly,Repaired
2016-11-14 11:55:12.523,151646000957,Assembly,Repaired
2016-11-18 09:37:47.433,151646004085,Preassembly,Repaired
2016-12-07 11:34:21.390,151647002865,Supplier,Repaired
2016-12-07 13:33:46.733,151647002865,Supplier,Repaired
2016-12-07 14:39:36.167,151647002865,Preassembly,Repaired
2017-01-05 14:08:37.403,151701000462,Preassembly,Repaired
2017-01-05 14:51:07.027,151701000576,Unknown,Repaired
2017-01-05 15:54:19.770,151701000576,Unknown,Repaired
2017-01-05 16:50:11.573,151701000576,Supplier,Repaired
2017-01-09 08:29:18.390,151701000576,Supplier,Repaired
2017-01-09 08:40:59.257,151701000576,Assembly,Repaired
2017-01-09 09:23:29.760,151701000576,Preassembly,Repaired
2017-01-19 10:56:52.757,151703005909,Unknown,Repaired
2017-01-19 11:34:41.550,151703005916,Unknown,Repaired
2017-01-31 12:02:16.827,151705001879,Assembly,Repaired
2017-02-08 06:37:37.980,151706001164,Preassembly,Repaired
2017-02-08 11:41:19.890,151706001090,Preassembly,Repaired
2017-02-08 14:45:30.960,151706001090,Preassembly,Repaired
2017-02-14 07:14:24.910,151705001877,Assembly,Repaired
2017-02-16 14:43:31.257,151707008694,Assembly,Repaired
2017-02-18 06:38:39.323,151707007601,Preassembly,Repaired
2017-02-23 16:14:48.747,151708005868,Preassembly,Replaced
2017-03-04 10:55:40.683,151710001772,Assembly,Repaired
2017-03-06 08:43:10.950,151710001772,Primary departments,Repaired
2017-03-06 09:16:35.537,151710001772,Supplier,Repaired
2017-03-06 10:35:47.393,151710001772,Preassembly,Replaced
2017-03-08 06:48:06.153,151710000743,Preassembly,Repaired
